
 num     #instances         #bytes  class name
 195:            64           3584  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 196:            74           3552  javax.management.MBeanInfo
 197:           147           3528  java.util.concurrent.CopyOnWriteArrayList$COWIterator
 198:           146           3504  org.apache.catalina.LifecycleEvent
 199:           106           3392  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 200:            34           3264  sun.util.calendar.Gregorian$Date
 201:           155           3256  [Lorg.apache.catalina.Container;
 202:            29           3248  org.springframework.boot.loader.jar.JarEntry
 203:           199           3184  org.springframework.boot.autoconfigure.condition.ConditionMessage
 204:            35           3136  [Ljava.lang.invoke.MethodHandle;
 205:            78           3120  java.lang.ClassNotFoundException
 206:           114           3064  [Lorg.springframework.asm.Type;
 207:           127           3048  javax.management.ObjectName$Property
 208:            95           3040  org.springframework.cglib.proxy.MethodProxy
 209:           109           3008  [Ljavax.management.ObjectName$Property;
 210:           187           2992  org.apache.logging.log4j.message.ParameterizedMessageFactory
 211:           187           2992  sun.reflect.generics.tree.TypeVariableSignature
 212:            73           2920  java.io.ObjectStreamField
 213:            60           2880  java.util.TreeMap
 214:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 215:           180           2880  org.springframework.core.SerializableTypeWrapper$TypeProxyInvocationHandler
 216:            69           2816  [Ljava.security.ProtectionDomain;
 217:           176           2816  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 218:           117           2808  org.springframework.beans.MutablePropertyValues
 219:           115           2760  org.springframework.beans.CachedIntrospectionResults
 220:            86           2752  java.lang.invoke.DirectMethodHandle$Special
 221:            38           2736  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 222:            64           2688  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 223:           168           2688  org.springframework.core.$Proxy5
 224:            67           2680  org.springframework.core.SerializableTypeWrapper$MethodInvokeTypeProvider
 225:           135           2536  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 226:            65           2504  [Ljavax.management.MBeanOperationInfo;
 227:            52           2496  org.springframework.boot.loader.jar.ZipInflaterInputStream
 228:           102           2448  java.net.URLClassLoader$1
 229:            38           2432  org.springframework.boot.loader.jar.JarFileEntries$1
 230:            75           2400  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 231:            32           2304  java.util.regex.Pattern
 232:            41           2296  sun.util.calendar.ZoneInfo
 233:            55           2200  javax.management.ObjectName
 234:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 235:           128           2048  java.lang.Character
 236:            63           2016  java.lang.reflect.WeakCache$CacheValue
 237:            84           2016  java.util.regex.Pattern$1
 238:            12           2016  jdk.internal.org.objectweb.asm.ClassWriter
 239:           126           2016  org.springframework.util.LinkedMultiValueMap
 240:            49           1960  java.lang.reflect.Parameter
 241:            30           1920  jdk.internal.org.objectweb.asm.Label
 242:            33           1848  java.util.concurrent.ConcurrentHashMap$ValueIterator
 243:            57           1824  java.lang.ThreadLocal$ThreadLocalMap$Entry
 244:            38           1824  org.springframework.boot.loader.jar.JarFileEntries
 245:            54           1728  org.springframework.cglib.proxy.MethodProxy$FastClassInfo
 246:            52           1664  java.lang.reflect.Proxy$Key1
 247:            52           1664  sun.reflect.annotation.AnnotationType
 248:            68           1632  java.security.Provider$ServiceKey
 249:            68           1632  java.util.regex.Pattern$GroupHead
 250:            68           1632  java.util.regex.Pattern$GroupTail
 251:            67           1608  jdk.internal.org.objectweb.asm.ByteVector
 252:            40           1600  java.security.AccessControlContext
 253:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 254:            49           1568  java.util.regex.Pattern$Branch
 255:            78           1552  [Ljava.lang.reflect.Parameter;
 256:            97           1552  java.util.HashMap$Values
 257:             1           1544  [[B
 258:            95           1520  java.security.ProtectionDomain$Key
 259:            27           1512  java.security.Provider$Service
 260:            63           1512  java.time.LocalDateTime
 261:            27           1512  org.apache.tomcat.util.res.StringManager$1
 262:            94           1504  [Ljava.security.Principal;
 263:            12           1504  [Lorg.springframework.boot.context.properties.source.PropertyMapping;
 264:            37           1480  org.springframework.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$4ce19e8f
 265:            46           1472  java.util.zip.ZipCoder
 266:            30           1440  java.time.temporal.ValueRange
 267:            15           1432  [J
 268:            49           1424  [Ljava.util.regex.Pattern$Node;
 269:            59           1416  java.util.regex.Pattern$Single
 270:            88           1408  com.sun.proxy.$Proxy33
 271:            58           1392  java.util.Collections$UnmodifiableRandomAccessList
 272:            51           1384  [Ljava.lang.annotation.ElementType;
 273:             1           1376  [Lsun.misc.FDBigInteger;
 274:            57           1368  java.util.Collections$SingletonList
 275:            55           1320  java.time.LocalDate
 276:            55           1320  org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata$FactoryMetadata
 277:            41           1312  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 278:            54           1296  com.sun.jmx.mbeanserver.NamedObject
 279:            53           1272  java.time.LocalTime
 280:            39           1248  java.util.Collections$SynchronizedMap
 281:            52           1248  java.util.regex.Pattern$BitClass
 282:            52           1248  org.springframework.boot.loader.data.RandomAccessDataFile$DataInputStream
 283:            31           1240  sun.nio.cs.UTF_8$Decoder
 284:            51           1224  org.springframework.core.convert.TypeDescriptor
 285:            51           1224  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 286:            38           1216  java.security.Permissions
 287:            30           1200  java.time.temporal.ChronoField
 288:            38           1184  [Ljava.math.BigInteger;
 289:            74           1184  java.util.jar.Attributes
 290:            37           1184  sun.reflect.UnsafeObjectFieldAccessorImpl
 291:            49           1176  org.springframework.boot.autoconfigure.condition.OnClassCondition
 292:            73           1168  com.sun.proxy.$Proxy9
 293:            29           1160  java.util.PropertyResourceBundle
 294:             8           1152  java.text.DecimalFormat
 295:            36           1152  java.util.regex.Pattern$Curly
 296:            36           1152  org.springframework.cglib.core.WeakCacheKey
 297:            36           1152  org.springframework.cglib.proxy.Enhancer$EnhancerFactoryData
 298:            11           1144  java.lang.invoke.InnerClassLambdaMetafactory
 299:            11           1144  org.springframework.beans.factory.support.GenericBeanDefinition
 300:            37           1120  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser;
 301:            35           1120  java.io.FilePermission
 302:            46           1104  java.util.ArrayDeque
 303:            34           1088  org.springframework.boot.loader.jar.AsciiBytes
 304:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 305:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 306:            27           1080  org.springframework.boot.loader.jar.CentralDirectoryFileHeader
 307:            19           1064  sun.misc.URLClassPath$JarLoader
 308:             1           1040  [Ljava.lang.Byte;
 309:             1           1040  [Ljava.lang.Integer;
 310:             1           1040  [Ljava.lang.Long;
 311:             1           1040  [Ljava.lang.Short;
 312:             1           1040  [Lsun.text.normalizer.UnicodeSet;
 313:            64           1024  [Lorg.apache.tomcat.util.modeler.NotificationInfo;
 314:             6           1008  [Ljava.net.URL;
 315:            42           1008  java.util.regex.Pattern$Slice
 316:            25           1000  java.time.format.DateTimeFormatter
 317:            62            992  org.apache.juli.logging.DirectJDKLog
 318:            41            984  org.springframework.core.io.ClassPathResource
 319:            47            960  [Ljava.lang.annotation.Annotation;
 320:            30            960  java.security.Provider$EngineDescription
 321:            40            960  java.util.Arrays$ArrayList
 322:            24            960  org.apache.tomcat.util.modeler.BaseModelMBean
 323:            24            960  org.springframework.core.annotation.AnnotationUtils$AliasDescriptor
 324:            40            960  org.springframework.http.MediaType
 325:            29            928  java.io.File
 326:            29            928  java.util.TreeMap$KeyIterator
 327:            29            928  org.springframework.format.support.FormattingConversionService$PrinterConverter
 328:            38            912  org.springframework.boot.loader.jar.Handler
 329:            19            912  sun.management.DiagnosticCommandInfo
 330:            28            896  com.fasterxml.jackson.databind.DeserializationFeature
 331:            37            888  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser
 332:            37            888  java.util.jar.Manifest
 333:            37            888  sun.misc.URLClassPath$Loader
 334:            22            880  org.springframework.util.ConcurrentReferenceHashMap$Segment$1
